 Map ID #, Date Sampled in 2023, NAD27 X cord EAST 17T, NAD27 Y cord NORTH, Depth (ft) 2023, Secchi Depth  (m) 2021,  All species abundance, Native Sp. Abundance, Non-Native sp. Abundance, Ceratophyllum Abundance, Elodea sp. Abundance, Heteranthera dubia Abundance, Lemna trisulca Abundance, Myriophyllum spicatum Abundance, Najas flexilis Abundance, Najas guadalupensis Abundance, Najas minor Abundance, Potamogeton crispus Abundance, Potamogeton praelongus Abundance, Potamogeton pusillus Abundance, Potamogeton zosteriformis Abundance, Vallisneria americana Abundance, N. obtusa Abundance
1,18-Aug,641200,4662300,2,1.1,S,S,Z,T,S,S,Z,T,S,T,Z,Z,Z,Z,Z,Z,Z
2,18-Aug,641000,4662300,12,1.5,M,M,T,Z,M,T,Z,Z,T,Z,T,Z,Z,Z,Z,Z,Z
3,18-Aug,640900,4662300,2.7,1.5,S,S,T,Z,S,T,Z,Z,T,Z,T,Z,Z,Z,T,Z,Z
4,18-Aug,640700,4662400,3.2,1.8,S,S,T,Z,S,T,Z,Z,Z,T,T,T,Z,T,T,Z,Z
5,18-Aug,640800,4662400,2.4,1.8,S,S,S,T,S,S,Z,T,T,Z,S,Z,Z,T,Z,Z,T
6,18-Aug,641000,4662400,10,1.75,M,S,M,Z,Z,S,Z,Z,S,Z,M,Z,Z,T,Z,Z,Z
7,18-Aug,641100,4662400,2.5,1.6,S,S,S,Z,T,T,Z,Z,Z,Z,S,Z,Z,T,Z,Z,T
8,18-Aug,641200,4662400,2.3,1.5,S,S,S,T,S,Z,Z,T,Z,Z,S,Z,Z,Z,Z,Z,Z
9,18-Aug,641300,4662500,1.9,1.2,S,S,S,S,T,S,Z,S,T,Z,S,Z,Z,Z,Z,Z,Z
10,18-Aug,641100,4662500,2.9,1.8,S,S,S,Z,T,T,Z,T,T,Z,S,T,Z,T,Z,Z,T
11,18-Aug,641000,4662500,2.8,1.95,S,S,S,Z,Z,S,Z,T,Z,T,S,T,Z,Z,Z,Z,Z
12,18-Aug,640800,4662500,2.8,2,S,S,S,Z,T,T,Z,T,Z,T,S,Z,Z,Z,Z,Z,Z
13,18-Aug,640600,4662500,2.4,2,T,T,T,Z,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
14,18-Aug,640400,4662500,3.3,1.5,T,T,T,Z,Z,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
15,18-Aug,640300,4662600,1.9,1.3,T,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
16,18-Aug,640500,4662600,2.9,1.4,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
17,18-Aug,640700,4662600,2.5,1.5,T,T,T,Z,T,T,Z,Z,Z,T,T,Z,Z,Z,Z,Z,Z
18,18-Aug,640800,4662600,1.9,2.25,T,T,T,Z,T,T,T,T,Z,T,Z,Z,Z,Z,Z,Z,Z
19,18-Aug,641100,4662600,1.9,1.95,S,S,S,Z,Z,S,Z,Z,Z,S,S,Z,Z,T,Z,Z,Z
20,18-Aug,641300,4662600,2.5,1.6,S,S,S,T,T,T,Z,T,S,Z,S,Z,Z,Z,Z,Z,Z
21,18-Aug,641300,4662700,2,1.7,S,S,S,Z,T,T,Z,T,S,Z,S,T,Z,Z,T,Z,Z
22,18-Aug,641200,4662700,1.3,1.9,S,S,S,Z,Z,T,Z,T,S,T,S,Z,Z,Z,Z,Z,Z
23,18-Aug,641000,4662700,3.2,2.1,T,T,T,T,T,T,Z,T,T,Z,T,Z,Z,Z,Z,Z,Z
24,18-Aug,640900,4662700,1.7,2.25,T,T,T,Z,T,Z,Z,T,T,Z,T,Z,Z,Z,T,Z,Z
25,18-Aug,640600,4662700,2,2.5,T,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
26,18-Aug,640400,4662700,1.9,1,T,T,T,Z,Z,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z
27,19-Aug,640000,4662800,1.4,1,T,T,T,Z,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
28,19-Aug,640100,4662800,2.4,1,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
29,19-Aug,640300,4662800,2.7,1.25,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
30,19-Aug,640500,4662800,2.7,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
31,19-Aug,640700,4662800,1.2,2.5,T,T,T,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z
32,19-Aug,640900,4662800,3.6,2.35,T,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
33,19-Aug,641000,4662800,2.7,2.25,T,T,T,Z,Z,T,Z,Z,Z,T,Z,T,Z,Z,Z,Z,Z
34,19-Aug,641200,4662800,3.7,2,S,S,S,T,Z,T,Z,Z,Z,T,S,Z,Z,Z,Z,Z,Z
35,19-Aug,641400,4662800,3.2,0.95,S,S,S,T,T,S,Z,T,S,Z,S,Z,Z,T,Z,Z,Z
